RootID,Self-assessment,Root,mnemonics,"all derivativies ( Formula column, do not edit)",me- group,me -- kan,ber-,per- group,di-,ter-,ke-,-nya,-kan,se-,idion,peribahasa,Gabungan,synonym,turunan,#N/A,Spelling_L1,OtherLang,Level_LCC_L1,Level_OS_L1,Level_AKD_L1,CEFR,Root wihtout meaning,chatGPT-Find derivaties,kbbi url,wikitonary,word in original language,#N/A,#N/A
1,,yang -      that; which is,,"
",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,yang,Can you list all derivatives of the Indonesian root word yang,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
2,0,dan -      and,,"

",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,dan,Can you list all derivatives of the Indonesian root word dan,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
3,0,di -      (p) at; in,,"

",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,di,Can you list all derivatives of the Indonesian root word di,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
4,0,dengan -      (p) with; by means of,,"

",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,dengan,Can you list all derivatives of the Indonesian root word dengan,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
5,0,ini -      this,,"ni -      shortened form of ""ini""

",,"ni -      shortened form of ""ini""",,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,ini,Can you list all derivatives of the Indonesian root word ini,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
6,,untuk -      (p) for; in order to,,"memperuntukkan -      (v pass) allotted; assigned; appropriate...
peruntukan -      (n) allocation; allotment
diperuntukkan
",memperuntukkan -      (v pass) allotted; assigned; appropriate...,,,peruntukan -      (n) allocation; allotment,diperuntukkan,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,untuk,Can you list all derivatives of the Indonesian root word untuk,https://kbbi.kemdikbud.go.id/entri/untuk,https://en.wiktionary.org/wiki/untuk#Indonesian,,,
7,,dari -      (p) from; than; of; through; since,,"sedari -      (p) since (= sejak)
",,,,,,,,,,sedari -      (p) since (= sejak),,,,,,,BK,NotE,1000,1000,1000,A0,dari,Can you list all derivatives of the Indonesian root word dari,https://kbbi.kemdikbud.go.id/entri/dari,https://en.wiktionary.org/wiki/dari#Indonesian,,,
8,,dalam -      (p) inside; in,,"dalamnya -      (n) depth; (p) inside it
mendalam -      (v) intensify; penetrate; deepen; worsen...
",,dalamnya -      (n) depth; (p) inside it,,,mendalam -      (v) intensify; penetrate; deepen; worsen...,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,dalam,Can you list all derivatives of the Indonesian root word dalam,https://kbbi.kemdikbud.go.id/entri/dalam,https://en.wiktionary.org/wiki/dalam#Indonesian,,,
9,,itu -      that,,"itulah -      (p) thus; that is the result

",itulah -      (p) thus; that is the result,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,itu,Can you list all derivatives of the Indonesian root word itu,https://kbbi.kemdikbud.go.id/entri/itu,https://en.wiktionary.org/wiki/itu#Indonesian,,,
10,,tidak -      not; no,,"setidaknya -      (adv) at least
tidaknya -      or not, or (opposite of previous word)
",,setidaknya -      (adv) at least,,,,,,"tidaknya -      or not, or (opposite of previous word)",,,,,,,,,BK,NotE,1000,1000,1000,A0,tidak,Can you list all derivatives of the Indonesian root word tidak,https://kbbi.kemdikbud.go.id/entri/tidak,https://en.wiktionary.org/wiki/tidak#Indonesian,,,
11,,pada -      (p) at; in; by; on; according to; toward...,,"memadai -      (v) fulfill; answer; satisfy; gratify; g...

",,memadai -      (v) fulfill; answer; satisfy; gratify; g...,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,pada,Can you list all derivatives of the Indonesian root word pada,https://kbbi.kemdikbud.go.id/entri/pada,https://en.wiktionary.org/wiki/pada#Indonesian,,,
